,name
322,"(48.7081906, 44.5153353)"
323,"(48.7081906, 44.5153353)"
324,"(48.782102, 44.7779843)"
325,"(51.4049435, 57.5803138)"
326,"(51.767452, 55.097118)"
327,"(54.9113412, 56.6582957)"
328,"(0, 0)"
329,"(0, 0)"
330,"(45.033669, 35.3753628)"
331,"(0, 0)"
332,"(0, 0)"
333,"(0, 0)"
334,"(51.530018, 46.034683)"
335,"(52.042755, 47.386032)"
336,"(50.462326, 48.135532)"
337,"(50.462326, 48.135532)"
338,"(52.277653, 46.410679)"
339,"(45.0433245, 41.9690934)"
340,"(45.2028215, 42.3990568)"
341,"(44.039775, 43.0706669)"
342,"(45.719723, 42.916286)"
343,"(44.403175, 43.884163)"
344,"(44.6245814, 41.9475941)"
345,"(55.8269908, 34.2770455)"
346,"(0, 0)"
347,"(55.2103563, 34.2995187)"
348,"(54.7814057, 32.0461261)"
349,"(54.2188995, 49.6038982)"
350,"(53.8762016, 36.5359775)"
351,"(54.3107593, 48.3642771)"
352,"(54.3107593, 48.3642771)"
353,"(53.200001, 45)"
354,"(53.200001, 45)"
355,"(53.200001, 45)"
356,"(53.200001, 45)"
357,"(0, 0)"
358,"(56.8149706, 61.3205936)"
359,"(53.689247, 43.044308)"
360,"(44.9212862, 38.994718)"
361,"(44.8833775, 39.1909625)"
362,"(56.1307195, 47.2449597)"
363,"(56.1307195, 47.2449597)"
364,"(0, 0)"
365,"(0, 0)"
366,"(56.1140023, 47.4870341)"
367,"(56.1140023, 47.4870341)"
368,"(56.1140023, 47.4870341)"
369,"(52.972939, 37.041908)"
370,"(52.9687747, 36.0694937)"
371,"(57.8173923, 28.3343465)"
372,"(57.8173923, 28.3343465)"
373,"(57.8173923, 28.3343465)"
374,"(54.18671, 45.18383)"
375,"(52.72879, 41.45536)"
376,"(52.72879, 41.45536)"
377,"(52.72879, 41.45536)"
378,"(53.3364288, 78.3306842)"
379,"(53.347402, 83.7784496)"
380,"(53.9933512, 84.7466139)"
381,"(46.306999, 44.270187)"
382,"(43.1758059, 44.3055486)"
383,"(43.1758059, 44.3055486)"
384,"(43.024593, 44.68211)"
385,"(43.9528755, 41.1917906)"
386,"(43.9465576, 42.5147956)"
387,"(56.9984452, 40.9737394)"
388,"(57.220222, 41.9245606)"
389,"(0, 0)"
